Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,Type,Goal_assist
04-05,LaLiga,34,01-05-05,H,FC Barcelona,Albacete Balompie,2:00,CF,90+1,Left-footed shot,Ronaldinho Gaacho
05-06,UEFA Champions League,Group Stage,02-11-05,H,FC Barcelona,Panathinaikos Athens,5:00,RW,34,Left-footed shot,
05-06,LaLiga,13,27-11-05,H,FC Barcelona,Racing Santander,4:01,RW,51,Left-footed shot,Samuel Etoo
05-06,LaLiga,19,15-01-06,H,FC Barcelona,Athletic Bilbao,2:01,RW,50,Left-footed shot,Mark van Bommel
05-06,LaLiga,20,22-01-06,H,FC Barcelona,Deportivo Alaves,2:00,CF,82,Left-footed shot,Ronaldinho Gaacho
05-06,LaLiga,21,29-01-06,A,FC Barcelona,RCD Mallorca,0:03,CF,75,Right-footed shot,Sylvinho
05-06,LaLiga,21,29-01-06,A,FC Barcelona,RCD Mallorca,0:03,CF,83,Left-footed shot,Ronaldinho Gaacho
05-06,Copa del Rey,Quarter-Finals,01-02-06,H,FC Barcelona,Real Zaragoza,2:01,CF,42,Header,Ludovic Giuly
05-06,LaLiga,24,18-02-06,H,FC Barcelona,Real Betis Balompie,5:01,RW,84,Left-footed shot,
06-07,LaLiga,1,28-08-06,A,FC Barcelona,Celta de Vigo,2:03,LW,59,Left-footed shot,Andres Iniesta
06-07,LaLiga,2,09-09-06,H,FC Barcelona,CA Osasuna,3:00,RW,36,Left-footed shot,Samuel Etoo
06-07,UEFA Champions League,Group Stage,27-09-06,A,FC Barcelona,SV Werder Bremen,1:01,RW,89,Left-footed shot,Deco
06-07,LaLiga,6,15-10-06,H,FC Barcelona,Sevilla FC,3:01,RW,80,Right-footed shot,Xavi
06-07,LaLiga,26,10-03-07,H,FC Barcelona,Real Madrid,3:03,RW,11,Left-footed shot,Samuel Etoo
06-07,LaLiga,26,10-03-07,H,FC Barcelona,Real Madrid,3:03,RW,28,Left-footed shot,
06-07,LaLiga,26,10-03-07,H,FC Barcelona,Real Madrid,3:03,RW,90+1,Left-footed shot,Ronaldinho Gaacho
06-07,LaLiga,27,17-03-07,A,FC Barcelona,Recreativo Huelva,0:04,RW,86,Left-footed shot,
06-07,LaLiga,28,31-03-07,H,FC Barcelona,Deportivo de La Coruaa,2:01,RW,45,Left-footed shot,Ronaldinho Gaacho
06-07,Copa del Rey,Semi-Finals,18-04-07,H,FC Barcelona,Getafe CF,5:02,RW,29,Solo run,Xavi
06-07,Copa del Rey,Semi-Finals,18-04-07,H,FC Barcelona,Getafe CF,5:02,RW,45,Left-footed shot,Deco
06-07,LaLiga,35,20-05-07,A,FC Barcelona,Atletico de Madrid,0:06,RW,39,Left-footed shot,Samuel Etoo
06-07,LaLiga,35,20-05-07,A,FC Barcelona,Atletico de Madrid,0:06,RW,80,Left-footed shot,Giovanni van Bronckhorst
06-07,LaLiga,37,09-06-07,H,FC Barcelona,RCD Espanyol Barcelona,2:02,RW,43,,Gianluca Zambrotta
06-07,LaLiga,37,09-06-07,H,FC Barcelona,RCD Espanyol Barcelona,2:02,RW,57,Right-footed shot,Deco
06-07,LaLiga,38,17-06-07,A,FC Barcelona,Gimnastic de Tarragona,1:05,RW,34,Left-footed shot,Deco
06-07,LaLiga,38,17-06-07,A,FC Barcelona,Gimnastic de Tarragona,1:05,RW,51,Left-footed shot,Deco
07-08,UEFA Champions League,Group Stage,19-09-07,H,FC Barcelona,Olympique Lyon,3:00,RW,82,Left-footed shot,Andres Iniesta
07-08,LaLiga,4,22-09-07,H,FC Barcelona,Sevilla FC,2:01,RW,72,Left-footed shot,Thierry Henry
07-08,LaLiga,4,22-09-07,H,FC Barcelona,Sevilla FC,2:01,RW,79,Penalty,
07-08,LaLiga,5,26-09-07,H,FC Barcelona,Real Zaragoza,4:01,RW,5,Left-footed shot,Thierry Henry
07-08,LaLiga,5,26-09-07,H,FC Barcelona,Real Zaragoza,4:01,RW,10,Left-footed shot,Deco
07-08,LaLiga,6,29-09-07,A,FC Barcelona,Levante UD,1:04,RW,50,Left-footed shot,Deco
07-08,UEFA Champions League,Group Stage,02-10-07,A,FC Barcelona,VfB Stuttgart,0:02,RW,66,Deflected shot on goal,Thierry Henry
07-08,LaLiga,7,07-10-07,H,FC Barcelona,Atletico de Madrid,3:00,RW,19,Left-footed shot,Ronaldinho Gaacho
07-08,LaLiga,9,28-10-07,H,FC Barcelona,UD Almera,2:00,RW,80,Penalty,
07-08,UEFA Champions League,Group Stage,07-11-07,H,FC Barcelona,Rangers FC,2:00,RW,41,Left-footed shot,Ronaldinho Gaacho
07-08,LaLiga,13,24-11-07,H,FC Barcelona,Recreativo Huelva,3:00,RW,81,Penalty,
07-08,UEFA Champions League,Group Stage,27-11-07,A,FC Barcelona,Olympique Lyon,2:02,RW,58,Penalty,
07-08,UEFA Champions League,last 16,20-02-08,A,FC Barcelona,Celtic FC,2:03,RW,18,Left-footed shot,Deco
07-08,UEFA Champions League,last 16,20-02-08,A,FC Barcelona,Celtic FC,2:03,RW,79,Left-footed shot,
07-08,LaLiga,25,24-02-08,H,FC Barcelona,Levante UD,5:01,RW,44,Left-footed shot,Xavi
07-08,LaLiga,35,04-05-08,H,FC Barcelona,Valencia CF,6:00,RW,5,Penalty,
08-09,LaLiga,2,13-09-08,H,FC Barcelona,Racing Santander,1:01,RW,70,Penalty,
08-09,LaLiga,3,21-09-08,A,FC Barcelona,Sporting Gijón,1:06,RW,85,Left-footed shot,Andres Iniesta
08-09,LaLiga,3,21-09-08,A,FC Barcelona,Sporting Gijón,1:06,RW,89,Header,Xavi
08-09,LaLiga,5,27-09-08,A,FC Barcelona,RCD Espanyol Barcelona,1:02,RW,90,Penalty,
08-09,UEFA Champions League,Group Stage,01-10-08,A,FC Barcelona,Shakhtar Donetsk,1:02,RW,87,Right-footed shot,Bojan Krkic
08-09,UEFA Champions League,Group Stage,01-10-08,A,FC Barcelona,Shakhtar Donetsk,1:02,RW,90+2,Left-footed shot,Xavi
08-09,LaLiga,6,04-10-08,H,FC Barcelona,Atletico de Madrid,6:01,RW,8,Direct free kick,
08-09,UEFA Champions League,Group Stage,22-10-08,A,FC Barcelona,FC Basel 1893,0:05,CF,4,Left-footed shot,Dani Alves
08-09,LaLiga,9,01-11-08,A,FC Barcelona,Malaga CF,1:04,RW,19,Left-footed shot,
08-09,UEFA Champions League,Group Stage,04-11-08,H,FC Barcelona,FC Basel 1893,1:01,RW,61,Left-footed shot,Thierry Henry
08-09,Copa del Rey,Fifth Round,12-11-08,H,FC Barcelona,Benidorm CD,1:00,RW,86,Penalty rebound,
08-09,LaLiga,11,16-11-08,A,FC Barcelona,Recreativo Huelva,0:02,RW,51,Left-footed shot,Xavi
08-09,UEFA Champions League,Group Stage,26-11-08,A,FC Barcelona,Sporting CP,2:05,RW,49,Left-footed shot,Dani Alves
08-09,LaLiga,13,29-11-08,A,FC Barcelona,Sevilla FC,0:03,RW,78,Left-footed shot,Xavi
08-09,LaLiga,13,29-11-08,A,FC Barcelona,Sevilla FC,0:03,RW,90+2,Left-footed shot,Aleksandr Hleb
